study_id,mext_code,school_name,yotsuya_deviation_value,establishment,school_type,area,prefecture,address,postal_code,study_url
B15P047,C114313000022,法政大学第二中学校,59,私立,共学校,神奈川県,神奈川県,神奈川県川崎市中原区木月大町６－１,2110031,https://www.study1.jp/kanto/school/B15P047/
B13P126,C113311400032,明治大学付属中野中学校,59,私立,男子校,東京23区,東京都,東京都中野区東中野３－３－４,1640003,https://www.study1.jp/kanto/school/B13P126/
B13P132,C113310300124,山脇学園中学校,59,私立,女子校,東京23区,東京都,東京都港区赤坂４－１０－３６,1078371,https://www.study1.jp/kanto/school/B13P132/
B13P134,C113311500077,立教女学院中学校,59,私立,女子校,東京23区,東京都,東京都杉並区久我山４－２９－６０,1688616,https://www.study1.jp/kanto/school/B13P134/
B13P025,C113310100055,暁星中学校,58,私立,男子校,東京23区,東京都,東京都千代田区富士見１－２－５,1028133,https://www.study1.jp/kanto/school/B13P025/
B13P038,C113311500095,国学院大学久我山中学校,58,私立,共学校,東京23区,東京都,東京都杉並区久我山１－９－１,1680082,https://www.study1.jp/kanto/school/B13P038/
B12P005,C112310000208,芝浦工業大学柏中学校,58,私立,共学校,千葉県,千葉県,千葉県柏市増尾７００番地,2770033,https://www.study1.jp/kanto/school/B12P005/
B14P017,C113320300025,成蹊中学校,58,私立,共学校,東京23区外,東京都,東京都武蔵野市吉祥寺北町３－１０－１３,1808633,https://www.study1.jp/kanto/school/B14P017/
B15P037,D214310000025,桐蔭学園中等教育学校,58,私立,共学校,神奈川県,神奈川県,神奈川県横浜市青葉区鉄町１６１４,2258502,https://www.study1.jp/kanto/school/B15P037/
B13P112,C113312000016,富士見中学校,58,私立,女子校,東京23区,東京都,東京都練馬区中村北４－８－２６,1760023,https://www.study1.jp/kanto/school/B13P112/
B13P115,C113310300106,普連土学園中学校,58,私立,女子校,東京23区,東京都,東京都港区三田４－１４－１６,1080073,https://www.study1.jp/kanto/school/B13P115/
B14P040,C113320100036,明治大学付属八王子中学校,58,私立,共学校,東京23区外,東京都,東京都八王子市戸吹町１１００,1920001,https://www.study1.jp/kanto/school/B14P040/
B15P055,C114310000108,横浜共立学園中学校,58,私立,女子校,神奈川県,神奈川県,神奈川県横浜市中区山手町２１２,2318662,https://www.study1.jp/kanto/school/B15P055/
B11P005,C111310300019,大宮開成中学校,57,私立,共学校,埼玉県,埼玉県,埼玉県さいたま市大宮区堀の内町１－６１５,3308567,https://www.study1.jp/kanto/school/B11P005/
B13P011,C113310100019,大妻中学校,57,私立,女子校,東京23区,東京都,東京都千代田区三番町１２,1028357,https://www.study1.jp/kanto/school/B13P011/
B15P007,C114320400023,鎌倉学園中学校,57,私立,男子校,神奈川県,神奈川県,神奈川県鎌倉市山ノ内１１０,2470062,https://www.study1.jp/kanto/school/B15P007/
B15C001,C114213020119,川崎市立川崎高等学校附属中学校,57,公立中高一貫,共学校,神奈川県,神奈川県,神奈川県川崎市川崎区中島３－３－１,2100806,https://www.study1.jp/kanto/school/B15C001/
B11C003,D211210300018,さいたま市立大宮国際中等教育学校,57,公立中高一貫,共学校,埼玉県,埼玉県,埼玉県さいたま市大宮区三橋４－９６,3300856,https://www.study1.jp/kanto/school/B11C003/
B15P021,C114320500022,湘南白百合学園中学校,57,私立,女子校,神奈川県,神奈川県,神奈川県藤沢市片瀬目白山４－１,2510034,https://www.study1.jp/kanto/school/B15P021/
B12C002,D212210000010,千葉市立稲毛国際中等教育学校,57,公立中高一貫,共学校,千葉県,千葉県,千葉県千葉市美浜区高浜３－１－１,2610003,https://www.study1.jp/kanto/school/B12C002/
B13N004,D213110000020,東京学芸大学附属国際中等教育学校,57,国立,共学校,東京23区,東京都,東京都練馬区東大泉５－２２－１,1780063,https://www.study1.jp/kanto/school/B13N004/
B13N006,C113110000023,東京学芸大学附属竹早中学校,57,国立,共学校,東京23区,東京都,東京都文京区小石川４－２－１,1120002,https://www.study1.jp/kanto/school/B13N006/
B15P043,C114310000206,日本大学中学校,57,私立,共学校,神奈川県,神奈川県,神奈川県横浜市港北区箕輪町２－９－１,2238566,https://www.study1.jp/kanto/school/B15P043/
B15P061,C114310000126,横浜雙葉中学校,57,私立,女子校,神奈川県,神奈川県,神奈川県横浜市中区山手町８８,2318653,https://www.study1.jp/kanto/school/B15P061/
B08C002,C108220290017,茨城県立日立第一高等学校附属中学校,56,公立中高一貫,共学校,茨城県,茨城県,茨城県日立市若葉町３－１５－１,3170063,https://www.study1.jp/kanto/school/B08C002/
B08C012,C108221190016,茨城県立水海道第一高等学校附属中学校,56,公立中高一貫,共学校,茨城県,茨城県,茨城県常総市亀岡町２５４３,3030025,https://www.study1.jp/kanto/school/B08C012/
B08C010,C108221090017,茨城県立下妻第一高等学校附属中学校,56,公立中高一貫,共学校,茨城県,茨城県,茨城県下妻市下妻乙２２６－１,3040067,https://www.study1.jp/kanto/school/B08C010/
B13P020,C113311600058,学習院中等科,56,私立,男子校,東京23区,東京都,東京都豊島区目白１－５－１,1710031,https://www.study1.jp/kanto/school/B13P020/
